Size,Time
10000,717700
20000,1596900
30000,2421700
40000,3230100
50000,4036000
60000,4966700
70000,5866200
80000,6710100
90000,7404600
100000,8311800
110000,9347500
120000,10337900
130000,11931900
140000,12857600
150000,13246900
160000,14069600
170000,15262200
180000,16301800
190000,17201300
200000,18034500
210000,20259200
220000,20105300
230000,21702400
240000,22712900
250000,23424400
260000,24278200
270000,25033000
280000,26501300
290000,27056900
300000,28593500
310000,29544100
320000,30095100
330000,31253800
340000,32154200
350000,39713800
360000,35738900
370000,36414400
380000,36998600
390000,39365900
400000,39266600
410000,39653600
420000,43476400
430000,41831300
440000,45587300
450000,43537900
460000,44613700
470000,46095900
480000,55566200
490000,49818000
500000,50582600
510000,50252000
520000,50852600
530000,52126100
540000,53202300
550000,54597800
560000,58666300
570000,56140800
580000,56588900
590000,57827700
600000,58656600
610000,63096700
620000,68744800
630000,61629000
640000,63906400
650000,62957400
660000,66119800
670000,66186200
680000,67640300
690000,71282100
700000,68955200
710000,70465400
720000,71703700
730000,73165000
740000,75134400
750000,75043700
760000,76854700
770000,87957200
780000,76048600
790000,76930100
800000,81078300
810000,82332300
820000,81170300
830000,82440100
840000,86105000
850000,86224500
860000,85456600
870000,86876600
880000,87469600
890000,111850500
900000,92814800
910000,89790100
920000,91885200
930000,95412100
940000,94579100
950000,96737000
960000,96306700
970000,96491800
980000,99397100
990000,108859400
1000000,102877700
