Size,Time
10000,757300
20000,1481900
30000,2392600
40000,3143200
50000,4013900
60000,4858400
70000,5835400
80000,6782100
90000,7759000
100000,8486700
110000,9154100
120000,10246800
130000,11756100
140000,12151200
150000,13198900
160000,14433900
170000,15480500
180000,16704900
190000,16932000
200000,17958500
210000,19312200
220000,19515800
230000,21199500
240000,21651400
250000,22760700
260000,24154500
270000,25417800
280000,26223100
290000,26300000
300000,27532300
310000,28100800
320000,30443600
330000,30831800
340000,31700500
350000,38258100
360000,37064100
370000,37338300
380000,36482400
390000,39379000
400000,38907000
410000,40235200
420000,40287000
430000,47805100
440000,42937400
450000,44881900
460000,43529900
470000,45100000
480000,64121900
490000,50662300
500000,50171300
510000,56816700
520000,51407100
530000,56703100
540000,57707800
550000,55110400
560000,56177300
570000,58186800
580000,58452300
590000,58882300
600000,58180000
610000,64457400
620000,59948700
630000,63186300
640000,63000000
650000,64166000
660000,64049000
670000,66276100
680000,67173000
690000,67660300
700000,68486700
710000,70237400
720000,70569000
730000,73441200
740000,74852700
750000,73480500
760000,77680000
770000,74954800
780000,79108900
790000,80759900
800000,78189500
810000,80496500
820000,81598500
830000,82585700
840000,84685400
850000,86235400
860000,86249500
870000,87684800
880000,99020500
890000,87162300
900000,95991400
910000,90230400
920000,92273100
930000,94706500
940000,93589000
950000,96309800
960000,96583400
970000,97003500
980000,97394200
990000,108231100
1000000,101216000
