Size,Time
10000,2771600
20000,2242600
30000,3508100
40000,3840400
50000,4808600
60000,7794800
70000,7015000
80000,8034100
90000,9038400
100000,10229500
110000,11014700
120000,12351900
130000,13457400
140000,14844200
150000,15878400
160000,16801400
170000,17865600
180000,18973500
190000,20385700
200000,21251800
210000,23579600
220000,23503900
230000,25525000
240000,29329500
250000,28841200
260000,31021100
270000,29845700
280000,35933900
290000,33523500
300000,36686900
310000,44159400
320000,46491900
330000,38827700
340000,44809300
350000,41569800
360000,46112700
370000,49295800
380000,42362700
390000,50284500
400000,51994800
410000,47028600
420000,64510900
430000,71507200
440000,62808400
450000,59590900
460000,67258100
470000,71389400
480000,69399100
490000,61782700
500000,73044500
510000,91646900
520000,66722400
530000,76262700
540000,69425700
550000,63966600
560000,65795900
570000,75997700
580000,77815900
590000,74121700
600000,71638600
610000,75768900
620000,74935500
630000,74163400
640000,74314100
650000,77355000
660000,78505500
670000,81354400
680000,80174800
690000,86369900
700000,83259300
710000,83542700
720000,87058000
730000,87902300
740000,88317200
750000,89146400
760000,115597700
770000,100629000
780000,97637000
790000,93830200
800000,98592100
810000,97445700
820000,97873600
830000,99992800
840000,99418100
850000,102830700
860000,105999500
870000,108800300
880000,105399600
890000,110524300
900000,107786700
910000,108935000
920000,111663400
930000,125131300
940000,121568800
950000,124716300
960000,129591000
970000,124032700
980000,124710100
990000,125517000
1000000,123202600
