Size,Time
500,55400
1000,106100
1500,222300
2000,370700
2500,571500
3000,804100
3500,1088000
4000,1401800
4500,1766000
5000,2161400
5500,2592300
6000,3080200
6500,3397200
7000,3818800
7500,3201100
8000,3621700
8500,4112700
9000,4677400
9500,5391100
10000,8388100
10500,9041200
11000,9530300
11500,10571900
12000,11899900
12500,12850000
13000,10488500
13500,11047500
14000,14158700
14500,16916300
15000,15031800
15500,16741200
16000,14852500
16500,16641700
17000,19519700
17500,23332700
18000,24314300
18500,24949400
19000,29408300
19500,33190100
20000,24519300
20500,32099500
21000,31460800
21500,29131900
22000,53961900
22500,38971300
23000,42384600
23500,42308700
24000,48883200
24500,59835600
25000,47457300
25500,49529800
26000,45965100
26500,41890600
27000,48175800
27500,59322900
28000,73383700
28500,63182300
29000,61021100
29500,60995900
30000,68601400
30500,71819700
31000,76943400
31500,74153200
32000,77072000
32500,73089700
33000,68355000
33500,81026400
34000,84770000
34500,81889000
35000,79892100
35500,90137800
36000,95125200
36500,88947300
37000,94399800
37500,98192800
38000,102974900
38500,106935000
39000,94437700
39500,103305700
40000,106471000
40500,115006600
41000,112219000
41500,124743100
42000,130477200
42500,125416800
43000,131785000
43500,127685900
44000,138219500
44500,141526800
45000,135356600
45500,150123700
46000,144809000
46500,149281900
47000,147693200
47500,149530600
48000,155799000
48500,156008900
49000,180741400
49500,155735600
50000,169813000
