Size,Time
500,87400
1000,279900
1500,601600
2000,1054300
2500,1743900
3000,2157200
3500,3124400
4000,3619800
4500,2945700
5000,4505600
5500,4785100
6000,6751200
6500,6915300
7000,6853400
7500,8293300
8000,9479000
8500,13673200
9000,11531000
9500,13737900
10000,15904000
10500,18724900
11000,22081500
11500,23969000
12000,19607000
12500,21105100
13000,22966000
13500,24679300
14000,26971500
14500,28995100
15000,31257500
15500,33518600
16000,35828900
16500,44955600
17000,48753100
17500,52332800
18000,57579800
18500,93649500
19000,110040100
19500,102268000
20000,112268800
20500,94004000
21000,90246800
21500,82039500
22000,87250600
22500,134129400
23000,111666700
23500,114943000
24000,122952800
24500,122309100
25000,112555600
25500,179264700
26000,145241700
26500,156881200
27000,164730800
27500,151652600
28000,200829600
28500,177681900
29000,164134200
29500,154201700
30000,208796200
30500,230591900
31000,190461600
31500,225175900
32000,188412200
32500,264205800
33000,268279500
33500,228308400
34000,238443700
34500,321779000
35000,317755800
35500,275263600
36000,241890500
36500,276423600
37000,374660200
37500,376456200
38000,348010100
38500,281660500
39000,223821600
39500,335449400
40000,315736400
40500,370718500
41000,375247200
41500,290332300
42000,258310500
42500,306605800
43000,279769700
43500,284519100
44000,300066300
44500,398107600
45000,460968000
45500,328739700
46000,317213600
46500,363467400
47000,380114700
47500,335584000
48000,342893300
48500,374414700
49000,354623900
49500,386663500
50000,382059800
