Size,Time
500,881800
1000,45500
1500,464000
2000,158600
2500,234100
3000,268800
3500,300600
4000,343800
4500,677300
5000,456300
5500,509800
6000,576300
6500,650600
7000,413900
7500,238500
8000,246800
8500,266500
9000,1525400
9500,331100
10000,351000
10500,369100
11000,385600
11500,542000
12000,556400
12500,442700
13000,486900
13500,215200
14000,221400
14500,225400
15000,226500
15500,227700
16000,238000
16500,261300
17000,250800
17500,261400
18000,277600
18500,286600
19000,293200
19500,300600
20000,326100
20500,326100
21000,336000
21500,548900
22000,926500
22500,935000
23000,966600
23500,985700
24000,1011200
24500,1035500
25000,1059400
25500,877300
26000,837900
26500,402400
27000,406200
27500,404300
28000,411200
28500,412100
29000,416400
29500,424300
30000,432000
30500,436900
31000,440900
31500,447400
32000,447900
32500,455300
33000,468900
33500,474400
34000,478100
34500,489500
35000,486900
35500,501100
36000,505700
36500,522500
37000,526600
37500,542100
38000,553700
38500,559400
39000,571100
39500,577600
40000,582300
40500,594000
41000,595400
41500,601000
42000,610300
42500,621200
43000,695900
43500,651900
44000,656000
44500,660100
45000,665600
45500,683800
46000,689100
46500,694100
47000,710400
47500,721500
48000,1083300
48500,1164300
49000,736400
49500,737200
50000,742500
