Size,Time
500,40100
1000,108600
1500,224300
2000,351700
2500,504700
3000,754600
3500,894000
4000,1074000
4500,1463600
5000,2085900
5500,2058500
6000,2754300
6500,3446000
7000,3822600
7500,4089000
8000,4423300
8500,4837700
9000,5886100
9500,6363000
10000,6566700
10500,13446800
11000,9715900
11500,9510400
12000,9420500
12500,11692100
13000,10029900
13500,13105000
14000,14225800
14500,14278500
15000,15375300
15500,17461500
16000,17919800
16500,17795200
17000,21698500
17500,23101900
18000,23706800
18500,25601400
19000,24945600
19500,27851200
20000,28852900
20500,28881600
21000,29651200
21500,31074600
22000,32299200
22500,45982300
23000,43021500
23500,47363000
24000,59446500
24500,45863000
25000,61966800
25500,49738400
26000,49164200
26500,96386800
27000,106504900
27500,56247400
28000,109521200
28500,96158600
29000,90989900
29500,104682000
30000,84987700
30500,76412700
31000,126044600
31500,109000500
32000,83188700
32500,102369200
33000,109426500
33500,87863500
34000,86030600
34500,104661000
35000,116822400
35500,123656200
36000,121894800
36500,89923500
37000,98606400
37500,112322100
38000,137640500
38500,143631400
39000,152976700
39500,153561600
40000,138575400
40500,126118000
41000,131051700
41500,157417200
42000,176995600
42500,210723800
43000,202509900
43500,199356700
44000,222529700
44500,196960000
45000,165669800
45500,186092200
46000,179885000
46500,165642900
47000,152247200
47500,180371100
48000,146673900
48500,163272900
49000,173131400
49500,165102500
50000,177374100
