Size,Time
500,8800
1000,11300
1500,26300
2000,20500
2500,26800
3000,32600
3500,35600
4000,37200
4500,48300
5000,61100
5500,67500
6000,72000
6500,74900
7000,74900
7500,78300
8000,80600
8500,90500
9000,95600
9500,105800
10000,200100
10500,202200
11000,209000
11500,122800
12000,137900
12500,139800
13000,142900
13500,143300
14000,148400
14500,149800
15000,172000
15500,167600
16000,160400
16500,160900
17000,173200
17500,180000
18000,196900
18500,201100
19000,208000
19500,213700
20000,229000
20500,223200
21000,234500
21500,239700
22000,252700
22500,256700
23000,267000
23500,278600
24000,274600
24500,280700
25000,288700
25500,294100
26000,296300
26500,297900
27000,308500
27500,300600
28000,301600
28500,309700
29000,310900
29500,312700
30000,319300
30500,319000
31000,327700
31500,319300
32000,324900
32500,334600
33000,363700
33500,364500
34000,363600
34500,363700
35000,377700
35500,381400
36000,400700
36500,412500
37000,410600
37500,464700
38000,401800
38500,620000
39000,461200
39500,440800
40000,440200
40500,462200
41000,461900
41500,480200
42000,478600
42500,500500
43000,496100
43500,505100
44000,506700
44500,510400
45000,521500
45500,523000
46000,529600
46500,529200
47000,537900
47500,549100
48000,547300
48500,572800
49000,571200
49500,581400
50000,592600
