Size,Time
500,1362900
1000,1586600
1500,6242200
2000,4580800
2500,2219600
3000,3160300
3500,4133900
4000,2425100
4500,2802700
5000,3395200
5500,3514900
6000,4155300
6500,4840900
7000,5531200
7500,6367700
8000,8436700
8500,8412900
9000,10597100
9500,12621100
10000,11474400
10500,12366600
11000,13699200
11500,14802000
12000,16056500
12500,17557600
13000,18895000
13500,20769500
14000,21859500
14500,23537600
15000,25177500
15500,26721600
16000,28569100
16500,30320300
17000,32218100
17500,35445900
18000,36555500
18500,37999000
19000,42312200
19500,58685000
20000,50056100
20500,51454300
21000,54103700
21500,59080300
22000,62947000
22500,61570900
23000,59411000
23500,73823200
24000,82499300
24500,73783600
25000,83055000
25500,87342400
26000,87687200
26500,91624700
27000,94465300
27500,106434400
28000,104490800
28500,101402500
29000,93334300
29500,97298300
30000,100765900
30500,103141800
31000,107476900
31500,111577200
32000,114814700
32500,132948800
33000,121321000
33500,125926300
34000,129557100
34500,136166700
35000,138677500
35500,140431900
36000,151168400
36500,148111100
37000,174304700
37500,190523600
38000,166539800
38500,167834600
39000,182510500
39500,174086400
40000,178377400
40500,181934000
41000,196789400
41500,201802500
42000,210521000
42500,207331500
43000,229908500
43500,245400000
44000,250565800
44500,230079300
45000,226198200
45500,233231600
46000,261670300
46500,268476200
47000,246157300
47500,311310300
48000,305788600
48500,332779400
49000,273897000
49500,272478000
50000,279572000
